DATE/TIME,YEAR,MONTH,DAY,HOUR,MINUTE,WEATHER,DATE,WEATHERCOND
2016-01-18 01:00:00,2016,1,18,1,0,Rain Showers,2016-01-18,Bad
2016-01-18 02:00:00,2016,1,18,2,0,Rain Showers,2016-01-18,Bad
2016-01-18 03:00:00,2016,1,18,3,0,Rain Showers,2016-01-18,Bad
2016-01-18 04:00:00,2016,1,18,4,0,Rain Showers,2016-01-18,Bad
2016-01-18 05:00:00,2016,1,18,5,0,Rain Showers,2016-01-18,Bad
2016-01-18 07:00:00,2016,1,18,7,0,Cloudy,2016-01-18,Good
2016-01-18 10:00:00,2016,1,18,10,0,Cloudy,2016-01-18,Good
2016-01-18 13:00:00,2016,1,18,13,0,Cloudy,2016-01-18,Good
2016-01-18 16:00:00,2016,1,18,16,0,Cloudy,2016-01-18,Good
2016-01-18 19:00:00,2016,1,18,19,0,Mostly Cloudy,2016-01-18,Good
2016-01-18 21:00:00,2016,1,18,21,0,Rain,2016-01-18,Bad
2016-01-18 22:00:00,2016,1,18,22,0,Cloudy,2016-01-18,Good
2016-01-19 00:00:00,2016,1,19,0,0,Rain,2016-01-19,Bad
2016-01-19 01:00:00,2016,1,19,1,0,Rain,2016-01-19,Bad
2016-01-19 04:00:00,2016,1,19,4,0,Cloudy,2016-01-19,Good
2016-01-19 07:00:00,2016,1,19,7,0,Mostly Cloudy,2016-01-19,Good
2016-01-19 10:00:00,2016,1,19,10,0,Cloudy,2016-01-19,Good
2016-01-19 13:00:00,2016,1,19,13,0,Cloudy,2016-01-19,Good
2016-01-19 16:00:00,2016,1,19,16,0,Mostly Cloudy,2016-01-19,Good
2016-01-19 19:00:00,2016,1,19,19,0,Cloudy,2016-01-19,Good
2016-01-19 22:00:00,2016,1,19,22,0,Mainly Clear,2016-01-19,Good
2016-01-20 01:00:00,2016,1,20,1,0,Mainly Clear,2016-01-20,Good
2016-01-20 04:00:00,2016,1,20,4,0,Mostly Cloudy,2016-01-20,Good
2016-01-20 06:00:00,2016,1,20,6,0,Fog,2016-01-20,Bad
2016-01-20 07:00:00,2016,1,20,7,0,Cloudy,2016-01-20,Good
2016-01-20 10:00:00,2016,1,20,10,0,Cloudy,2016-01-20,Good
2016-01-20 13:00:00,2016,1,20,13,0,Cloudy,2016-01-20,Good
2016-01-20 16:00:00,2016,1,20,16,0,Cloudy,2016-01-20,Good
2016-01-20 19:00:00,2016,1,20,19,0,Cloudy,2016-01-20,Good
2016-01-20 21:00:00,2016,1,20,21,0,Rain,2016-01-20,Bad
2016-01-20 22:00:00,2016,1,20,22,0,Rain,2016-01-20,Bad
2016-01-20 23:00:00,2016,1,20,23,0,Rain,2016-01-20,Bad
2016-01-21 00:00:00,2016,1,21,0,0,Rain,2016-01-21,Bad
2016-01-21 01:00:00,2016,1,21,1,0,Rain,2016-01-21,Bad
2016-01-21 02:00:00,2016,1,21,2,0,Rain,2016-01-21,Bad
2016-01-21 03:00:00,2016,1,21,3,0,Rain,2016-01-21,Bad
2016-01-21 04:00:00,2016,1,21,4,0,Rain,2016-01-21,Bad
2016-01-21 05:00:00,2016,1,21,5,0,Rain,2016-01-21,Bad
2016-01-21 06:00:00,2016,1,21,6,0,Rain,2016-01-21,Bad
2016-01-21 07:00:00,2016,1,21,7,0,Rain,2016-01-21,Bad
2016-01-21 08:00:00,2016,1,21,8,0,Rain,2016-01-21,Bad
2016-01-21 09:00:00,2016,1,21,9,0,"Rain,Fog",2016-01-21,Bad
2016-01-21 10:00:00,2016,1,21,10,0,"Rain,Fog",2016-01-21,Bad
2016-01-21 11:00:00,2016,1,21,11,0,Rain,2016-01-21,Bad
2016-01-21 12:00:00,2016,1,21,12,0,Rain,2016-01-21,Bad
2016-01-21 13:00:00,2016,1,21,13,0,"Rain,Fog",2016-01-21,Bad
2016-01-21 14:00:00,2016,1,21,14,0,Rain,2016-01-21,Bad
2016-01-21 15:00:00,2016,1,21,15,0,Rain,2016-01-21,Bad
2016-01-21 16:00:00,2016,1,21,16,0,Rain,2016-01-21,Bad
2016-01-21 17:00:00,2016,1,21,17,0,Rain,2016-01-21,Bad
2016-01-21 18:00:00,2016,1,21,18,0,Rain,2016-01-21,Bad
2016-01-21 19:00:00,2016,1,21,19,0,Rain,2016-01-21,Bad
2016-01-21 20:00:00,2016,1,21,20,0,Rain,2016-01-21,Bad
2016-01-21 21:00:00,2016,1,21,21,0,Rain,2016-01-21,Bad
2016-01-21 22:00:00,2016,1,21,22,0,Rain,2016-01-21,Bad
2016-01-21 23:00:00,2016,1,21,23,0,Rain,2016-01-21,Bad
2016-01-22 00:00:00,2016,1,22,0,0,Rain,2016-01-22,Bad
2016-01-22 01:00:00,2016,1,22,1,0,Rain,2016-01-22,Bad
2016-01-22 02:00:00,2016,1,22,2,0,Rain,2016-01-22,Bad
2016-01-22 04:00:00,2016,1,22,4,0,Cloudy,2016-01-22,Good
2016-01-22 05:00:00,2016,1,22,5,0,Rain,2016-01-22,Bad
2016-01-22 06:00:00,2016,1,22,6,0,Rain,2016-01-22,Bad
2016-01-22 07:00:00,2016,1,22,7,0,Rain,2016-01-22,Bad
2016-01-22 08:00:00,2016,1,22,8,0,Rain,2016-01-22,Bad
2016-01-22 09:00:00,2016,1,22,9,0,"Rain Showers,Fog",2016-01-22,Bad
2016-01-22 10:00:00,2016,1,22,10,0,"Rain,Fog",2016-01-22,Bad
2016-01-22 12:00:00,2016,1,22,12,0,Rain Showers,2016-01-22,Bad
2016-01-22 13:00:00,2016,1,22,13,0,Mostly Cloudy,2016-01-22,Good
2016-01-22 14:00:00,2016,1,22,14,0,Rain Showers,2016-01-22,Bad
2016-01-22 16:00:00,2016,1,22,16,0,Mostly Cloudy,2016-01-22,Good
2016-01-22 19:00:00,2016,1,22,19,0,Mostly Cloudy,2016-01-22,Good
2016-01-22 22:00:00,2016,1,22,22,0,Cloudy,2016-01-22,Good
2016-01-23 01:00:00,2016,1,23,1,0,Cloudy,2016-01-23,Good
2016-01-23 04:00:00,2016,1,23,4,0,Cloudy,2016-01-23,Good
2016-01-23 07:00:00,2016,1,23,7,0,Cloudy,2016-01-23,Good
2016-01-23 10:00:00,2016,1,23,10,0,Mostly Cloudy,2016-01-23,Good
2016-01-23 13:00:00,2016,1,23,13,0,Mostly Cloudy,2016-01-23,Good
2016-01-23 16:00:00,2016,1,23,16,0,Mostly Cloudy,2016-01-23,Good
2016-01-23 19:00:00,2016,1,23,19,0,Mostly Cloudy,2016-01-23,Good
2016-01-23 22:00:00,2016,1,23,22,0,Mostly Cloudy,2016-01-23,Good
2016-01-24 01:00:00,2016,1,24,1,0,Rain Showers,2016-01-24,Bad
2016-01-24 04:00:00,2016,1,24,4,0,Fog,2016-01-24,Bad
2016-01-24 05:00:00,2016,1,24,5,0,Fog,2016-01-24,Bad
2016-01-24 06:00:00,2016,1,24,6,0,Fog,2016-01-24,Bad
2016-01-24 07:00:00,2016,1,24,7,0,Fog,2016-01-24,Bad
2016-01-24 08:00:00,2016,1,24,8,0,Fog,2016-01-24,Bad
2016-01-24 09:00:00,2016,1,24,9,0,Fog,2016-01-24,Bad
2016-01-24 10:00:00,2016,1,24,10,0,Fog,2016-01-24,Bad
2016-01-24 13:00:00,2016,1,24,13,0,Mostly Cloudy,2016-01-24,Good
2016-01-24 16:00:00,2016,1,24,16,0,Mostly Cloudy,2016-01-24,Good
2016-01-24 19:00:00,2016,1,24,19,0,Mostly Cloudy,2016-01-24,Good
2016-01-24 22:00:00,2016,1,24,22,0,Mostly Cloudy,2016-01-24,Good
2016-01-25 01:00:00,2016,1,25,1,0,Mostly Cloudy,2016-01-25,Good
2016-01-25 04:00:00,2016,1,25,4,0,Cloudy,2016-01-25,Good
2016-01-25 07:00:00,2016,1,25,7,0,Cloudy,2016-01-25,Good
2016-01-25 10:00:00,2016,1,25,10,0,Mostly Cloudy,2016-01-25,Good
2016-01-25 13:00:00,2016,1,25,13,0,Cloudy,2016-01-25,Good
2016-01-25 16:00:00,2016,1,25,16,0,Mostly Cloudy,2016-01-25,Good
2016-01-25 19:00:00,2016,1,25,19,0,Cloudy,2016-01-25,Good
2016-01-25 22:00:00,2016,1,25,22,0,Mostly Cloudy,2016-01-25,Good
2016-01-26 01:00:00,2016,1,26,1,0,Mostly Cloudy,2016-01-26,Good
2016-01-26 02:00:00,2016,1,26,2,0,Rain Showers,2016-01-26,Bad
2016-01-26 04:00:00,2016,1,26,4,0,Cloudy,2016-01-26,Good
2016-01-26 05:00:00,2016,1,26,5,0,Rain,2016-01-26,Bad
2016-01-26 06:00:00,2016,1,26,6,0,Rain,2016-01-26,Bad
2016-01-26 07:00:00,2016,1,26,7,0,Rain,2016-01-26,Bad
2016-01-26 09:00:00,2016,1,26,9,0,"Rain,Fog",2016-01-26,Bad
2016-01-26 10:00:00,2016,1,26,10,0,"Rain,Fog",2016-01-26,Bad
2016-01-26 11:00:00,2016,1,26,11,0,Rain,2016-01-26,Bad
2016-01-26 12:00:00,2016,1,26,12,0,Rain,2016-01-26,Bad
2016-01-26 13:00:00,2016,1,26,13,0,Rain,2016-01-26,Bad
2016-01-26 15:00:00,2016,1,26,15,0,"Rain,Drizzle,Fog",2016-01-26,Bad
2016-01-26 16:00:00,2016,1,26,16,0,"Drizzle,Fog",2016-01-26,Bad
2016-01-26 17:00:00,2016,1,26,17,0,Rain,2016-01-26,Bad
2016-01-26 19:00:00,2016,1,26,19,0,Drizzle,2016-01-26,Bad
2016-01-26 21:00:00,2016,1,26,21,0,"Rain,Drizzle,Fog",2016-01-26,Bad
2016-01-26 22:00:00,2016,1,26,22,0,"Rain,Drizzle,Fog",2016-01-26,Bad
2016-01-26 23:00:00,2016,1,26,23,0,"Rain,Drizzle,Fog",2016-01-26,Bad
2016-01-27 01:00:00,2016,1,27,1,0,Rain,2016-01-27,Bad
2016-01-27 04:00:00,2016,1,27,4,0,Cloudy,2016-01-27,Good
2016-01-27 07:00:00,2016,1,27,7,0,Cloudy,2016-01-27,Good
2016-01-27 10:00:00,2016,1,27,10,0,Cloudy,2016-01-27,Good
2016-01-27 13:00:00,2016,1,27,13,0,Rain,2016-01-27,Bad
2016-01-27 14:00:00,2016,1,27,14,0,Rain,2016-01-27,Bad
2016-01-27 15:00:00,2016,1,27,15,0,Rain,2016-01-27,Bad
2016-01-27 16:00:00,2016,1,27,16,0,Rain,2016-01-27,Bad
